mac_id,sensor_label,timestamp,value
925056043,co2,2026-01-31 05:01:59.183000+03:00,0.23
925056043,co2,2026-01-31 04:52:40.405000+03:00,0.24
925056043,co2,2026-01-31 04:46:59.455000+03:00,0.38
925056043,co2,2026-01-31 04:41:59.494000+03:00,0.74
925056043,co2,2026-01-31 04:37:40.373000+03:00,0.19
925056043,co2,2026-01-31 04:31:59.472000+03:00,0.33
925056043,co2,2026-01-31 04:26:59.306000+03:00,0.39
925056043,co2,2026-01-31 04:11:59.436000+03:00,0.76
925056043,co2,2026-01-31 04:06:59.497000+03:00,0.73
925056043,co2,2026-01-31 04:02:31.413000+03:00,0.51
925056043,co2,2026-01-31 03:56:59.434000+03:00,0.13
925056043,co2,2026-01-31 03:51:59.495000+03:00,0.79
925056043,co2,2026-01-31 03:42:16.295000+03:00,0.07
925056043,co2,2026-01-31 03:36:59.471000+03:00,0.68
925056043,co2,2026-01-31 03:32:32.235000+03:00,0.54
925056043,co2,2026-01-31 03:16:59.482000+03:00,0.41
925056043,co2,2026-01-31 03:11:58.296000+03:00,0.12
925056043,co2,2026-01-31 03:10:57.217000+03:00,0.59
925056043,co2,2026-01-31 03:05:57.180000+03:00,0.64
925056043,co2,2026-01-31 03:00:57.184000+03:00,0.36
925056043,co2,2026-01-31 02:55:57.192000+03:00,0.32
925056043,co2,2026-01-31 02:50:41.059000+03:00,0.74
925056043,co2,2026-01-31 02:49:41+03:00,0.29
925056043,co2,2026-01-31 02:48:41+03:00,0.34
925056043,co2,2026-01-31 02:47:25.242000+03:00,0.72
925056043,co2,2026-01-31 02:46:26+03:00,0.64
925056043,co2,2026-01-31 02:44:51.159000+03:00,0.28
925056043,co2,2026-01-31 02:42:26.972000+03:00,0.55
925056043,co2,2026-01-31 02:41:10.158000+03:00,0.4
925056043,co2,2026-01-31 02:40:42.939000+03:00,0.39
925056043,co2,2026-01-31 02:35:11.506000+03:00,0.29
925056043,co2,2026-01-31 02:33:54.549000+03:00,0.35
925056043,co2,2026-01-31 02:33:20.832000+03:00,0.43
925056043,co2,2026-01-31 02:32:11.629000+03:00,0.43
925056043,co2,2026-01-31 02:30:39.337000+03:00,0.37
925056043,co2,2026-01-31 02:29:40+03:00,0.27
925056043,co2,2026-01-31 02:28:56.426000+03:00,0.43
925056043,co2,2026-01-31 02:27:39.535000+03:00,0.27
925056043,co2,2026-01-31 02:27:05.852000+03:00,0.59
925056043,co2,2026-01-31 02:25:56.598000+03:00,0.52
925056043,co2,2026-01-31 02:24:24.160000+03:00,0.45
925056043,co2,2026-01-31 02:23:25+03:00,0.33
925056043,co2,2026-01-31 02:22:41.250000+03:00,0.31
925056043,co2,2026-01-31 02:21:24.146000+03:00,0.16
925056043,co2,2026-01-31 02:20:50.412000+03:00,0.32
925056043,co2,2026-01-31 02:19:41.212000+03:00,0.46
925056043,co2,2026-01-31 02:18:08.941000+03:00,0.25
925056043,co2,2026-01-31 02:17:09+03:00,0.22
925056043,co2,2026-01-31 02:16:25.812000+03:00,0.44
925056043,co2,2026-01-31 02:15:09.093000+03:00,0.28
925056043,co2,2026-01-31 02:14:35.213000+03:00,0.38
925056043,co2,2026-01-31 02:13:25.960000+03:00,0.61
925056043,co2,2026-01-31 02:11:53.856000+03:00,0.55
925056043,co2,2026-01-31 02:10:54+03:00,0.45
925056043,co2,2026-01-31 02:10:34.870000+03:00,0.38
925056043,co2,2026-01-31 02:09:19.543000+03:00,0.16
925056043,co2,2026-01-31 02:06:55.339000+03:00,0.36
925056043,co2,2026-01-31 02:05:38.525000+03:00,0.43
925056043,co2,2026-01-31 02:05:11.509000+03:00,0.71
925056043,co2,2026-01-31 02:03:19.811000+03:00,0.5
925056043,co2,2026-01-31 02:02:04.738000+03:00,0.71
925056043,co2,2026-01-31 01:59:40.543000+03:00,0.12
925056043,co2,2026-01-31 01:58:23.515000+03:00,0.12
925056043,co2,2026-01-31 01:57:34.707000+03:00,0.3
925056043,co2,2026-01-31 01:56:26.343000+03:00,0.45
925056043,co2,2026-01-31 01:55:41.067000+03:00,0.24
925056043,co2,2026-01-31 01:54:09+03:00,0.76
925056043,co2,2026-01-31 01:52:34.306000+03:00,0.59
